location,content,rating,date,rating_num,dates
Canggu_Beach,"The beach has a very strong waves, not really for a small children type of beach.. this is surfers beach.. Full of live music and nice sunset spots and restaurant, we came during covid time in April 2021,  most of Bali were empty, stores were closed out of business, except Canggu and Uluwatu.. these places still alive and vibrant, compare to Seminyak, Kuta, Legian, Sanur etc",4.0 of 5 bubbles,"April 6, 2021",4,2021-04-06
Canggu_Beach,This beach is connected with nearby beaches such as batu bolong and nelayan. There is a big temple on the shore. The wave is good and there are a lot of restaurant and cafe nearby,5.0 of 5 bubbles,"December 18, 2020",5,2020-12-18
Canggu_Beach,"Initially the black sands of Canggu Beach are quite novel. As this spot has become THE place to be in Bali, crowds have blemished what once might have been pristine and serene. Plenty of waves to surf and hip bars to visit - the beach seems to be perennially packed these days.",3.0 of 5 bubbles,"November 16, 2020",3,2020-11-16
Canggu_Beach,"Unfortunately this gorgeou beach was covered in rubbish. The little food and drink places along the edge of the walkway were friendly and if looking for basic food , nice views and cold drinks its a great spot. The laid back atmosphere and lovely locals makes is favourite spot though when visiting Bali. We stay here for 1/2 of our Bali trip.",4.0 of 5 bubbles,"July 16, 2020",4,2020-07-16
Canggu_Beach,"Canggu Beach was wonderful and exactly what I wanted for my vacation. I spent three weeks at an Air Bnb that was in walking distance. My criteria: good surfing waves and yoga. The waves: LOVED them. They came in reliably in perfect sets. Wave after wave after wave, and it's a beach break so you don't have to worry about getting killed on the reef. They are long, firm waves, perfect for long boarding. There are enough waves for everyone, and the locals are very nice, friendly, and laid-back. You can rent boards on the beach, or bring your own. The Yoga: There are several yoga studios close by, but I preferred to do my own ashtanga practice before or after surfing, at my air bnb or on the beach.The Beach: Beautiful with deep blue water and a lovely sky. There are stray dogs which will break your heart, but they are not dangerous.",5.0 of 5 bubbles,"June 25, 2020",5,2020-06-25
Canggu_Beach,Great beach a lot of surfersHowever the small shop are in my opinion expensive for bali as well a lot of party bar are open blasting music which can kill the mood,4.0 of 5 bubbles,"June 2, 2020",4,2020-06-02
Canggu_Beach,We knew this was not a white sandy beach but the beach itself had lots of rubbish on it and was so noisy from lots of drunk people in the various bars dotted along the front. Much nicer beaches elsewhere in Bali.,2.0 of 5 bubbles,"April 28, 2020",2,2020-04-28
Canggu_Beach,"Always find you will get a wave at Canggu (and surrounds) without as much hassle as the more renowned breaks on the other side of the penninsula...you all know the breaks, but you also know how its not as much fun anymore. (MJ)",5.0 of 5 bubbles,"March 3, 2020",5,2020-03-03
Canggu_Beach,"If you want to go to Australia, then go to Australia, this part of Bali is disgusting, all the people drinking alcohol, not clean, loudly.....very bad.",1.0 of 5 bubbles,"March 3, 2020",1,2020-03-03
Canggu_Beach,"After visiting Seminyak in Bali you can definitely see a contrast in Canggu. This is a new and developing neighbourhood with lots of restaurants, bars and cafes. I can see why the younger crowd gravitate here for budget conscious options. Black sand beach with plenty of choice for beachside activities.",4.0 of 5 bubbles,"February 29, 2020",4,2020-02-29
Canggu_Beach,Beautiful sunsets. Good waves and warm clean water.  A great place to view the sweep of the bay and relax,4.0 of 5 bubbles,"February 24, 2020",4,2020-02-24
Canggu_Beach,"High waves here. Casual walkers and swimmers must not venture into this one has the tides are very rough and aggressive. But otherwise,  a great place to chill.",5.0 of 5 bubbles,"February 23, 2020",5,2020-02-23
Canggu_Beach,"beautiful sunset if you coming here in the afternoon after 6 pm. many many people coming here, cause they have a beautiful beaches 😍😍😍",5.0 of 5 bubbles,"February 23, 2020",5,2020-02-23
Canggu_Beach,"So much garbage, come on locals, your destroying your country. Dirty beach no visitors no income from tourism. Will not go back.",2.0 of 5 bubbles,"February 22, 2020",2,2020-02-22
Canggu_Beach,"After 8 years traveling Bali , this is our favourite beach / area - so many new cool restaurants and bars , the beach clean and less busy , except for the surfers that are making it so fun to watch",5.0 of 5 bubbles,"February 21, 2020",5,2020-02-21
Canggu_Beach,"The beach is busy with surfboard hire places and lounges, like most beaches! There is a lot you can access by walking the beach! Popular for surf lessons and surfing!",4.0 of 5 bubbles,"February 11, 2020",4,2020-02-11
Canggu_Beach,It is a black sand beach. The place is busy with surfers. New hotels are coming. Super nice new restaurants are in the area. Make sure to visit: Laci modern cuisine restaurant and Lacalita Mexican restaurant.,5.0 of 5 bubbles,"February 9, 2020",5,2020-02-09
Canggu_Beach,The surf is great and it’s a nice place to watch surfers as well when your having a break. There a Plenty of good little Restraunts and bars near by to relax. There is a lot of rubbish and plastic pollution in the beach and ocean there i picked up a lot I wish I brought more things to collect more rubbish out of the water. When your paddling out to get a waver the plastic rubbish gets tangled in your leg rope it’s sad I wish they took Bette care of the environment,3.0 of 5 bubbles,"February 7, 2020",3,2020-02-07
Canggu_Beach,"Nice waves for surfing, but if you want to swim not the best choice (Amed beach is).Great prices for sunbeds, we have reserved a sunbed for a whole day at Echo beach for 25k.Sunsets are beautiful!The sand looks kind of black and is somehow very sticky:DIf you want to take a shower after the beach you can go to the cafes at the beach, they usually have something.",4.0 of 5 bubbles,"February 5, 2020",4,2020-02-05
Canggu_Beach,"Pretty clean beach, great surf beach and plenty of places to lay a towel or grab a drink. It's also easy to get to.",5.0 of 5 bubbles,"January 28, 2020",5,2020-01-28
Canggu_Beach,"Certain areas are not that tastefullStick to the private beaches as best you can.Feet were black walking from place to place,  Some parts were fab, but just know where to go",1.0 of 5 bubbles,"January 27, 2020",1,2020-01-27
Canggu_Beach,"a great sunset from here, very wide beach front, watch out for the strong currents from here, can be quite rough at times",3.0 of 5 bubbles,"January 23, 2020",3,2020-01-23
Canggu_Beach,"If you want a super Western style beach, this is your place. Being from California, I was expecting a very special type of place after hearing that Canggu was voted one of the best beaches in the world, but it was EXACTLY like a California beach. All of the restaurants were catered towards Western cuisine, the most unauthentic part of Bali I'd seen in the whole 3 weeks my boyfriend and I were there.",1.0 of 5 bubbles,"January 20, 2020",1,2020-01-20
Canggu_Beach,You don't go to Bali for the beaches! Not compared to Australia. its peaceful and nice in the mornings and lots of street dogs hang out and will say hello. Good for surfing but not swimming.,3.0 of 5 bubbles,"January 13, 2020",3,2020-01-13
Canggu_Beach,"What I like the most is its sunset. Just perfect. Spending an aftrnoon here, either with friends or family, is a good idea",5.0 of 5 bubbles,"January 11, 2020",5,2020-01-11
Batu_Bolong_Beach,"Nice beach, possible to swim on low tide. Good spots for surf. Amazing sunsets. Enough place to have a walk on any tide. and really very wide on low tides. A lot of nice views. Temple near.Some restaurants on the side of Old man club, With good choice of dishes. Wonderful ocean view.You can see the sunset and amazing color clouds 30 min after sunset here.",5.0 of 5 bubbles,"April 24, 2021",5,2021-04-24
Batu_Bolong_Beach,I love Batu Bolong. It's great beach for long walks and beginners surfing. You can see beautiful sunset from here and experience Canguu crowd during sunset watching.,5.0 of 5 bubbles,"March 15, 2021",5,2021-03-15
Batu_Bolong_Beach,The hype beach in the all Bali.You can enjoy a lovely fresh coconut while looking at the surfers ride the waves or surf yourself.At night it turns into to a great party place.,5.0 of 5 bubbles,"June 4, 2020",5,2020-06-04
