location,content,rating,date,rating_num,dates
Samasta_Lifestyle_Village,We went several days for dinner and tried different restaurants. The kids loved it! Great space for playing around with water and shopping.,5.0 of 5 bubbles,"January 8, 2020",5,2020-01-08
Jimbaran_Bay,"This has been one of my favorite beaches, then last week with rains Indian Ocean shared this with us. It is impossible for locals to try to clean up.",4.0 of 5 bubbles,"January 21, 2021",4,2021-01-21
Jimbaran_Bay,Fabulous sand and sunsets - less crowded than Kuta which is further north - great waves to play in. You can drive/walk down beside Belmond Puri Jimbaran for public access.,5.0 of 5 bubbles,"July 31, 2020",5,2020-07-31
Jimbaran_Bay,This was a stop over coming from ululatu temple and going back to the hotel. The beach is nice and clean. There are plenty of People around in the early evening. There are some good sea food restaurants nearby.,5.0 of 5 bubbles,"May 7, 2020",5,2020-05-07
Jimbaran_Bay,"Firstly “ Rock bar “....as always gorgeous ( if even expensive then normal 😤)... then for balance ; our driver is a local & recommended a great restaurant on beach ; sadly don’t remember name. lt certainly was no frills but the food was fabulous & fresh, great to eat like a local.Sadlydue to current situation we were only people on beach & in restaurants area so no performance on beach .....let’s hope the world sees some normalcy soon. ⭐️⭐️⭐️⭐️",4.0 of 5 bubbles,"April 2, 2020",4,2020-04-02
Jimbaran_Bay,Needle seen on beach when my partner and I were walking on the beach barefooted. It wasn’t capped. It was an open needle amongst a load of trash on the beach. Filthy. And there were a lot of kids and beach joggers. Do not recommend.  Beach is also infested with swarms of blood-sucking sandflies and mosquitoes. Avoid at all costs. Seafood by the beach was also not great.However the pool at THE INTERCONTINENTAL is temp controlled and fantastic. It has sunset views. Also the Italian restaurant there was so good that we went again. I usually go for local food on vacation but this was exceptional.,1.0 of 5 bubbles,"March 24, 2020",1,2020-03-24
Jimbaran_Bay,Jimbaran beach is very nice beach and have many restaurabt of seafood with delicious taste and memorable places.,5.0 of 5 bubbles,"March 6, 2020",5,2020-03-06
Jimbaran_Bay,It's a beautiful beach. Watching the sunset was amazing. If you want seafood then that's where you should go. We went there on Christmas Day. The vibe was amazing. The food was lovely. So romantic for couples. It's a must visit if you in Bali.,4.0 of 5 bubbles,"February 20, 2020",4,2020-02-20
Jimbaran_Bay,"Beach is bang on average for a touristy beach in Bali. Littered with rubbish and many beach front restaurants severing pitiful food. Amid the hustlers trying to sell you the same shell bracelets, and the midgets nipping at the soft flesh around your ankles, (bugs not people). The beach is just there, there was one redeeming quality that my eyes stumbled upon. An awesome giant pig (Sau) floating out in the ocean. I watched from the water as the pig rode the waves into shore far better than I could hope to do on a surfboard. Eventually the bloated behemoth rolled up the beach due to a push from a strong wave, we looked on in awe as dogs began to appear from nowhere and sniff the carcass out. At that point we decided to flee the terror inducing smell that began wafting from the sorry animal, our escape was swift. We washed our bodies in the chlorinated pool. And that was that.",2.0 of 5 bubbles,"February 19, 2020",2,2020-02-19
Jimbaran_Bay,"I’m new to Bali but Jimbaran is to be recommended for great hotels, a nice beach and outstanding seafood.",5.0 of 5 bubbles,"February 18, 2020",5,2020-02-18
