location,content,rating,date,rating_num,dates
DMZ_Bali_3D_Art_Museum,DMZ art museum is such a fun place to visit in Bali. We really had a lot of laughters here with the 3D thing. So amazing,5.0 of 5 bubbles,"April 12, 2020",5,2020-04-12
DMZ_Bali_3D_Art_Museum,"First time visit this museum , when inside the museum was not really interesting actually .Some of picture inside so average and the big problem is some staff look busy with their phone",2.0 of 5 bubbles,"March 18, 2020",2,2020-03-18
DMZ_Bali_3D_Art_Museum,We absolutely loved DMZ!! It was sooooo much fun! The workers there knew exactly how to take each picture and they guided us on how to pose. The pictures all look amazing!! Something to cherish forever! Everything was well organized and well maintained! Definitely worth a visit 😊,5.0 of 5 bubbles,"March 9, 2020",5,2020-03-09
DMZ_Bali_3D_Art_Museum,"Great shorter activity for a family or people without children also, you just go round to each room and pose for pictures very fun and great artwork to be seen",4.0 of 5 bubbles,"March 8, 2020",4,2020-03-08
DMZ_Bali_3D_Art_Museum,What a great way to kill and hour or so before heading to the airport.  A great idea for a rainy day too.Lots of great murals to explore and loads of fun taking photos. There are staff member in every room to help you stand correctly and to take the photos for you.,4.0 of 5 bubbles,"March 7, 2020",4,2020-03-07
DMZ_Bali_3D_Art_Museum,It was fun to put yourself in 3D painted images and take photos. Some of them turned out hilarious. The staff there are helpful in making sure you get the right photo shot. Good to do on a rainy afternoon and it is airconditioned too.,4.0 of 5 bubbles,"March 3, 2020",4,2020-03-03
DMZ_Bali_3D_Art_Museum,"Good for something different to do, photos look good.Staff were very helpful taking photos. A bit expensive",3.0 of 5 bubbles,"February 18, 2020",3,2020-02-18
DMZ_Bali_3D_Art_Museum,It’s good for a rainy day or bit of fun for the kids. Looks dodgey from the outside. Prepare to take many photos. Some are quite realistic. If you need a day inside or out of the rain or the kids need a few hours of entertainment. Give it a try.,4.0 of 5 bubbles,"February 17, 2020",4,2020-02-17
DMZ_Bali_3D_Art_Museum,"Most of the pictures are not good for 3d, this place can be better and the idea is good but poor application",1.0 of 5 bubbles,"February 14, 2020",1,2020-02-14
DMZ_Bali_3D_Art_Museum,This place was ok. The pics don't look that great. Some of the staff were so grumpy but then there were few who were so helpful and loved to help us with poses and perfect photo experience. In all a one time visit place only.,3.0 of 5 bubbles,"February 3, 2020",3,2020-02-03
DMZ_Bali_3D_Art_Museum,"Great for kids and big kids also. They have a lot of rooms with a lot of images that look like flat paintings until you see the photos. You can get some really good effects. The staff are helpful and advise you where/how to stand and where to put your hands for the best photo. You don’t get time to look at your photos and adjust your poses because there are always people coming behind you, so you have to move on. It’s best to get there early before the crowds.",4.0 of 5 bubbles,"February 2, 2020",4,2020-02-02
DMZ_Bali_3D_Art_Museum,"While the 3D images were great, being followed the whole time by staff definitely made us feel uncomfortable. So much so that we left without taking photos with all the paintings, because we felt it was intrusive having people in our faces the entire time.",3.0 of 5 bubbles,"January 21, 2020",3,2020-01-21
DMZ_Bali_3D_Art_Museum,"We went here towards the end of our holiday and we were just chilling out, took a taxi from our hotel. The outside does not look impressive, but inside it is good. You have to remove your shoes, if I knew I would have brought socks. It is not dirty, I am just not used to walking barefoot, which you need for this so you do not destroy the art works. They have sample poses and they also have very helpful staff who can show you how to pose and also take the photos for you. I recommend going early to avoid the crowds so you have enough time to get good photos. We were lucky we went there when most people have gone back to work.",4.0 of 5 bubbles,"January 13, 2020",4,2020-01-13
DMZ_Bali_3D_Art_Museum,"Super fun, the staff will assist you to taking the best picture. The ticket affordable, and location easy to accsess",5.0 of 5 bubbles,"January 12, 2020",5,2020-01-12
DMZ_Bali_3D_Art_Museum,"It's super fun, i recomend you to come with your family or friends to make group foto. The staff will assist you with every spot",5.0 of 5 bubbles,"January 7, 2020",5,2020-01-07
DMZ_Bali_3D_Art_Museum,"If you’re looking for a great family fun experience, check this place out! My partner and I went and enjoyed seeing the optical illusion art and took many photos. It was only about $22 AUD for both of us. It was nice to escape the weather for the day! Also, on another note, just up is Burger King - hear me out - while I wouldn’t usually go get fast food on a holiday (much prefer to try local food), it is great to see that many of their staff are people who people with hearing impairments and can communicate with sign language. I was more than happy to go there.",5.0 of 5 bubbles,"January 5, 2020",5,2020-01-05
DMZ_Bali_3D_Art_Museum,We had been to Bali many times but never visited the 3d museum. That was until our last visit. When we walked in we were approached by one off the staff who helped us by placing us in the best positions on the artwork and then taking the photos for us. It wasn't until we actually sat and looked through all the photos we took we realised just how awesome each pic was. Definitely worth a visit whilst in Bali :),4.0 of 5 bubbles,"January 2, 2020",4,2020-01-02
Legian_Beach,"Visiting Kuta Beach, step by step back to The Real Pantai Kuta, some people enjoyed their time, and also me and friends, simply this Kuta must be back normal",4.0 of 5 bubbles,"December 23, 2021",4,2021-12-23
Legian_Beach,It was kinda a clean beach for Bali standard. Very serene with only few people due to the pandemic.We stayed at Padma Legian hotel and it was just a throw stone away from the hotel. So nice and blessed!,5.0 of 5 bubbles,"March 5, 2021",5,2021-03-05
Legian_Beach,"Comfortable. This beach has seen tourists for decades, and it shows. Plenty of beanbags to sit on and umbrellas to sit under, with coolers full of beers and other beverages to sip. Close to Double Six hotel, the sunsets here are sublime. Stay for the day, try a surf lesson or two and watch the sun sink beyond the waves.",4.0 of 5 bubbles,"November 16, 2020",4,2020-11-16
Legian_Beach,"Legian beach is a great beach for a swim, surf, long walk or run. You can also get a massage, pedicure souvenirs or anything you desire, It’s a bit quiet through the day at the moment due to COVID but nights are busy with locals. You can always get a cold beer, great sunset and almost any type of food you’re after. Lots of sun lounges and umbrellas for rent all day. Really good beach scene to see.",5.0 of 5 bubbles,"August 12, 2020",5,2020-08-12
Legian_Beach,The beach is quite nice. As you can imagine sunset is an even busier time as it's very popular to sit on the beach with a drink as the sun sets.,4.0 of 5 bubbles,"July 17, 2020",4,2020-07-17
Legian_Beach,"Previously I stayed in Legian so used the beach often, even did a surfing lesson there.This time I just did a visit. It was crowded, but not as hectic is Kita beach.The water was relatively clean as was the beach.It was nice to watch the surfers.",4.0 of 5 bubbles,"June 30, 2020",4,2020-06-30
Legian_Beach,Go to the beach at 6 pm every night to watch the sun sink into the sea.Beach touts will be there so take your own drinks.,5.0 of 5 bubbles,"June 19, 2020",5,2020-06-19
Legian_Beach,Love the black sand beach with may entertainment arround. Good place to watch sunset. Recommended and i will be back for sure.,5.0 of 5 bubbles,"April 29, 2020",5,2020-04-29
Legian_Beach,Legian Beach is a Great Beach for Surfers as the Waves are high and Great to be enjoyed on the Board!,4.0 of 5 bubbles,"March 30, 2020",4,2020-03-30
