location,content,rating,date,rating_num,dates
KDongDing_Local_Culinary_Journey_Day_Class,"The class is held in a private compound in the hills above Ubud.  It's a lovely setting.  We had a trip to the market where the spices were explained by Nyoman, who was teaching us Balinese cooking.  When we came back, we tasted the coffee ground in his garden, it was lovely and he outlined what we would be cooking.  I was with a friend who has never cooked, but he loved it!  Everyone cooked their own food and ate it so everyone had the full cooking experience.  Thoroughly recommend this class.",5.0 of 5 bubbles,"March 9, 2020",5,2020-03-09
KDongDing_Local_Culinary_Journey_Day_Class,"Hey Nyoman & Wayan, sorry for a week late post. First of all, we would like to extend our heartfelt appreciation to your families for hosting us. The entire experience is a blast! This is not just a cooking class but you have shared with us the wonderful cultural experience in a balinese family setting and the day-to-day life at the market.  We felt so at home upon stepping into the home compound. I even felt more like a balinese woman when I changed into the traditional dress, eating the food I had cooked. Cooking instructor, Nyoman is fun,joyful and ecstatic, you don't feel pressured not able to keep up to pace. Simple dishes but yet so flavourful!!!! Hope to see you guys soon,perhaps to teach me other balinese dishes... Babi Guling, Ikan Bakar? U guys rock!",5.0 of 5 bubbles,"January 18, 2020",5,2020-01-18
The_Spa_at_Padma_Resort_Ubud,"The ambience is really amazing , with the environment like in a cave, and the water sound, service of the therapist is really makes us so relief and relax.",5.0 of 5 bubbles,"May 30, 2021",5,2021-05-30
The_Spa_at_Padma_Resort_Ubud,"Pamper your body, sould, and mind with the Spa experience at Padma Resort Ubud. The ambiance of the place is calming, the therapist is friendly and pampering. It’s a worth experience. You can choose any treatment and special offer from them.",5.0 of 5 bubbles,"March 22, 2021",5,2021-03-22
The_Spa_at_Padma_Resort_Ubud,The place was epic it was so comfort and nice i do some meni and pedi and spa for 2 hour.the service was good to all the people was nice but the nail color pallate notoo much varians.,5.0 of 5 bubbles,"November 27, 2020",5,2020-11-27
The_Spa_at_Padma_Resort_Ubud,Spa visit was worth every penny!!! I felt rejuvenated and service was excellent! If I had to find anything to complain about it would be the tea cup size was too small .... and that’s as bad as it got. And honestly that is IF I could find one negative or need for improvement to critique.,5.0 of 5 bubbles,"August 3, 2020",5,2020-08-03
The_Spa_at_Padma_Resort_Ubud,"Was a fantastic experience in the Spa! The True Bliss- warm stones and facial treatment and manicure were amazing. I felt like a new person afterwards. The girls were amazing, so nice and welcoming!!",4.0 of 5 bubbles,"March 16, 2020",4,2020-03-16
The_Spa_at_Padma_Resort_Ubud,"One of the best spas I have been to. Service from the moment we walked in was top notch, served with tea whilst you select your massage oils. We chose a package with a scrub, massage and facial. Yani my therapist was attentive, professional and delivered an excellent scrub, massage and facial. Post treatment you relax in the lounge with more tea. Such a fabulous experience and reasonably priced, highly recommend a visit.",5.0 of 5 bubbles,"February 29, 2020",5,2020-02-29
The_Spa_at_Padma_Resort_Ubud,Fantastic I’ve just had a Frangipani warm oil soothing massage in the amazing hands of Eva. I chose the 90 minute massage and it was fantastic. Thank you Eva for making me feel comfortable and totally relaxed. 👍😁,5.0 of 5 bubbles,"February 9, 2020",5,2020-02-09
The_Spa_at_Padma_Resort_Ubud,"I did the pure indulgence package that included a hot stone massage, facial, body scrub, and milk bath. The price was worth it and the experience was flawless. If you arrive a bit early, I would suggest asking to use steam and sauna rooms before hand to get yourself ready for the pampering. This package lives up to its name and you’ll feel amazing by the end.",5.0 of 5 bubbles,"February 2, 2020",5,2020-02-02
Serayu_Spa,"The Serayu Spa place under the Yoga pavilion. From this place, we can still enjoy the nice view from spa room too.Try the massage, I found the therapist who can accommodate my needs and have a zen after allOn 5 days I stayed, am already twice going to spa. Am really enjoy",5.0 of 5 bubbles,"May 16, 2021",5,2021-05-16
Serayu_Spa,We spent a small amount of time here while staying at the Kayon and wished we had stayed more. The massage was excellent and the surrounding views and private room for our treatment was gorgeous. Service pricing was very reasonable for a fine hotel.,5.0 of 5 bubbles,"April 7, 2020",5,2020-04-07
Serayu_Spa,"They take care everything of us. The oil, the treatment, balinese massage,... amazing !!! The place is also private for couple. It leaves nothing to be desired.",5.0 of 5 bubbles,"January 29, 2020",5,2020-01-29
Serayu_Spa,"Truly magical & romantic spa experience for my husband and I. Private spa in tropical location followed by full body massage, body scrub and private bath in a tub full of flower petals! So special!",5.0 of 5 bubbles,"January 8, 2020",5,2020-01-08
Serayu_Spa,The staff is  very good trained and offer a lot of high quality treatments. The therapists are friendly and charming. Rooms are not too cold and they used to ask you during the sessions if are everything good for you. Thanks a lot for treat us very well!,5.0 of 5 bubbles,"January 5, 2020",5,2020-01-05
Serayu_Spa,"The Serayu Spa place under the Yoga pavilion. From this place, we can still enjoy the nice view from spa room too.Try the massage, I found the therapist who can accommodate my needs and have a zen after allOn 5 days I stayed, am already twice going to spa. Am really enjoy",5.0 of 5 bubbles,"May 16, 2021",5,2021-05-16
Serayu_Spa,We spent a small amount of time here while staying at the Kayon and wished we had stayed more. The massage was excellent and the surrounding views and private room for our treatment was gorgeous. Service pricing was very reasonable for a fine hotel.,5.0 of 5 bubbles,"April 7, 2020",5,2020-04-07
Serayu_Spa,"They take care everything of us. The oil, the treatment, balinese massage,... amazing !!! The place is also private for couple. It leaves nothing to be desired.",5.0 of 5 bubbles,"January 29, 2020",5,2020-01-29
Serayu_Spa,"Truly magical & romantic spa experience for my husband and I. Private spa in tropical location followed by full body massage, body scrub and private bath in a tub full of flower petals! So special!",5.0 of 5 bubbles,"January 8, 2020",5,2020-01-08
Serayu_Spa,The staff is  very good trained and offer a lot of high quality treatments. The therapists are friendly and charming. Rooms are not too cold and they used to ask you during the sessions if are everything good for you. Thanks a lot for treat us very well!,5.0 of 5 bubbles,"January 5, 2020",5,2020-01-05
