,location,content,rating,date
0,Nusa_Dua_Beach,The beach was relaxing. We can't really enjoy the magnificent sunset like in Kuta beach or Uluwatu since we're on the east side of the island. However the experience was world class!,4.0 of 5 bubbles,"Written December 29, 2021"
1,Nusa_Dua_Beach,The beach is dirty sand bags piled up 2m slippery dangerous pay to get in to dirty beach people are not friendly think god gave them the.beach god gave the beach to all people god angry sent big waves washed away what was the beach boring place to stay dont go there cqrnt ride bikes carnt walk on foot path very rude security stay away feom nusa dua,1.0 of 5 bubbles,"Written November 3, 2021"
2,Nusa_Dua_Beach,"Great beach, easy to do social distancing. Many 5 stars hotel in the area. Perfect, quiet, and safe for family and kids.",5.0 of 5 bubbles,"Written May 29, 2021"
3,Nusa_Dua_Beach,"Nusa Dua beach has always been my favorite beach to enjoy. It has a white sand beach and it has a quiet situation, less crowd.On the far right side,  it has good wave for surfing.  Nusa dua beach has less small coral and less gravel, which is a good spot beach for running, love it.Over all, Nusa dua beach is a good spot to enjoy your day and sunset. Enjoy!",5.0 of 5 bubbles,"Written February 18, 2021"
4,Nusa_Dua_Beach,"Nusa Dua is a beautifully laid out region that houses Bali’s most expensive and exclusive beach resorts, landscaped gardens, art galleries and museums. The Nusa Dua beach is beautiful stretch of coastline where couples can enjoy some alone time, take a stroll and soak in the beauty of the surroundings. Blue seas, frothy waves and white sands - that's bliss, right?",5.0 of 5 bubbles,"Written January 15, 2021"
5,Nusa_Dua_Beach,"White sands clear waters, WESTIN Resort day pass use pools and enjoy the beautiful beach best in Bali  grab lunch from Ikan  restaurant overlooking the beach great day Nusa Dua",5.0 of 5 bubbles,"Written December 28, 2020"
6,Nusa_Dua_Beach,"This beach is designed as a complex for  five stars hotels. Therefore, it is not as crowded as the Legian beach (Kuta).",5.0 of 5 bubbles,"Written December 8, 2020"
7,Nusa_Dua_Beach,"Nice beach and wide shore, good for walking along the waves, taking massage to relax and feel comfort while blowing sea breeze. High tide waves are never dangerous for swimming. Such a safe and lovely sea.",5.0 of 5 bubbles,"Written November 16, 2020"
8,Nusa_Dua_Beach,"Beautiful and pristine Bech with clear waters. Enjoyed a lot of water sports also like water scooter, parachutes, sea walk. A nice combination of adventure and relaxation",5.0 of 5 bubbles,"Written September 13, 2020"
9,Nusa_Dua_Beach,Beautiful and stunning view of the beach. Clear blue sky . The landscpae of this place itself is so breathtaking i cannot explain with my own words.,5.0 of 5 bubbles,"Written July 31, 2020"
10,Nusa_Dua_Beach,You arrifve and are immeditely overwhelmed by the natural beauty/serinity; you can stay there all day take in the natural beauty of the location.,5.0 of 5 bubbles,"Written May 26, 2020"
11,Nusa_Dua_Beach,"Nusa Dua are the best beaches I saw on Bali. Nusa Dua is all about beach walking, sunbathing, swimming or water sports. Walking along this beach in the evening is very relaxing.",5.0 of 5 bubbles,"Written May 7, 2020"
12,Nusa_Dua_Beach,Move to the central area. Wave and tides clean away plastic scraps and alga. Much cleaner and easy swimming,4.0 of 5 bubbles,"Written April 21, 2020"
13,Nusa_Dua_Beach,"White sand beach with chairs and some restaurants and small shops for drinks & snacks. November to May not much wind, but can get windy on shore June to October",4.0 of 5 bubbles,"Written April 12, 2020"
14,Nusa_Dua_Beach,The beach in Nusa Dua is very nice and well suited for long walks. The only sad part is that we could still find plastic garbage in the water and on the sand but people there clean it frequently.Goes to show you that we all have to do our part to clean up the oceans everywhere around the world.....,5.0 of 5 bubbles,"Written April 1, 2020"
15,Nusa_Dua_Beach,"Spent many a day relaxing on this beautiful beach, wonderfully clean and well maintained. The crystal clear warm waters were a joy to experience.",5.0 of 5 bubbles,"Written March 23, 2020"
16,Nusa_Dua_Beach,Truly a remarkable and pristine area. Can thoroughly recommend the whole area. Such a pleasure to meander along the whole area.,4.0 of 5 bubbles,"Written March 21, 2020"
17,Nusa_Dua_Beach,"Plenty of shops, bars and restaurants at very reasonable prices. Open til late but easy to get lost the first time when you’re in a hurry to catch the hotel shuttle bus!!  A lot of the restaurants will take you back to your hotels free of charge once you’ve eaten there.",5.0 of 5 bubbles,"Written March 21, 2020"
18,Nusa_Dua_Beach,Beautiful clean beach. Water perfect for swimming - plenty bars and restraunts along the coast. ......... .. ..,5.0 of 5 bubbles,"Written March 17, 2020"
19,Nusa_Dua_Beach,"This was really an all adult family vacation, so the word couples doesn’t really accurately describe the type. Our time in Bali at Nusa Dua was filled with Warm and service oriented people. If they don’t enjoy their jobs, they sure act like they do! The warmth of the people and kindness is so unexpected. They even tell you when they think you’re tipping too much. We were happy to tip because they all go over and beyond in service...and it’s always with a warm friendly smile, conversation and a real sense of appreciation.",5.0 of 5 bubbles,"Written March 13, 2020"
20,Nusa_Dua_Beach,"An amazing beach for honeymooners. Silent, breazy and well equipped with good restaurants. There are restaurants serving multi cuisine food, variety of water sports and adventure activities, on the go massages.",4.0 of 5 bubbles,"Written March 11, 2020"
21,Nusa_Dua_Beach,"Nuda dua is as oasis within Bali standard, you feel organization cleaned tropical picture. Completely different from neighboring.  I love the atmosphere! True that is it not the Iger place for those who loves Wild beach and Hard reef! This is a classic carabean atmosphere Great place",5.0 of 5 bubbles,"Written March 11, 2020"
22,Nusa_Dua_Beach,"great beach hotel. the staff were very approachable and helpful mostly to my husband who is disable. the breakfast was good, the room was very good with comfortable bed.  We will be returning to this excellent hotel. thank you Nusa Dua Beach Hotel & Spa",5.0 of 5 bubbles,"Written March 11, 2020"
23,Nusa_Dua_Beach,"Beach area is cleaned daily of rubbish and seaweed washed up on shore. Very clean area, safety buoys for swimmers, small on shore waves, great for beach walks",5.0 of 5 bubbles,"Written March 7, 2020"
24,Nusa_Dua_Beach,Perfect beach- just as you want it to be.Cleaners that made sure it was clean in the mornings. Long runs was perfect and nice swimming.,5.0 of 5 bubbles,"Written March 7, 2020"
25,Nusa_Dua_Beach,"A beach that Give you everything, Lovely sand, small and Big Waves, surfing and of Course bars, för food and drink.",5.0 of 5 bubbles,"Written March 6, 2020"
26,Nusa_Dua_Beach,"I visit this place for few time, but before always full with tour bus tourist. Now feel so relax and good place for chill not crowded.. but i love this beach and so beautiful ♥️",5.0 of 5 bubbles,"Written March 1, 2020"
27,Nusa_Dua_Beach,"Beautiful water, sand and beach!!! Pristine crystal clear water, super clean white soft sand on the beach and great open space. Very exclusive and quiet - paradise on earth!!!",5.0 of 5 bubbles,"Written February 29, 2020"
28,Nusa_Dua_Beach,Nusa dua has been my favorite beach with jogging tracks around the peninsula area making it perfect for jogs.The wave it calm that you can swim safely with the kids making it perfect for family.,5.0 of 5 bubbles,"Written February 28, 2020"
29,Nusa_Dua_Beach,"Good,  lively , safe and overall clean beach with some sea weed. Close walking distance to the water blow , Chain of good hotels along the beach.",4.0 of 5 bubbles,"Written February 28, 2020"
30,Nusa_Dua_Beach,"Much much much cleaner and more peaceful than the beaches around Kuta, worth the trip for sure if you want to chill !",5.0 of 5 bubbles,"Written February 25, 2020"
31,Nusa_Dua_Beach,It’s a beauty even watching the water being far and then in few hours approaching . The trees on the sand also beautiful and the squirrels playing around .,5.0 of 5 bubbles,"Written February 25, 2020"
32,Nusa_Dua_Beach,"It’s a beach and who does not like walking a beach. It is endless with lots of activity along the way from massage places, bars and restaurants, both low and high end. People and scenery watching at its best.",5.0 of 5 bubbles,"Written February 19, 2020"
33,Nusa_Dua_Beach,Had the pleasure of spending 10 nights in this area and after 20 years it's still beautiful and peaceful,5.0 of 5 bubbles,"Written February 18, 2020"
34,Nusa_Dua_Beach,Lovely clean white sand. Beautiful to walk along. The kids loved swimming in the perfect temperature water. Beautiful sunsets. Really beautiful place to visit.,5.0 of 5 bubbles,"Written February 16, 2020"
35,Nusa_Dua_Beach,"I first reviewed Nusa Dua beach in 2018 and commented that in late November/December the water was absolutely full of rubbish and gave it only 3 stars because of that. I want to give credit where its due and say that 12 months later it was absolutely stunning and not a single bit of rubbish could be seen. The water was warm and crystal clear, the sand well kept and plenty of time has been spent making the place look great.WI was told by a few people that the rubbish situation is seasonal as particular currents and water flows bring the rubbish into the area but that its soon flushed out. Based on my two visits (so far) that seems to be the case.So its only fair that I mention that in September 2019 it was fantastic and postcard perfect. We all enjoyed going for walks from the Novotels 2.28 Beach Club up to the Waterblow. Lots of great little bars and places to eat you can just stop in by the way and plenty of squirrels everywhere for people to feed ;)Hope its the same this later this year when we return - easily one of the best beaches in Bali, much better than the tourist traps over in Kuta/Legian. The black sand beaches up in Tabanan and Tanah Lot  are only better because there's no-one on them :)",5.0 of 5 bubbles,"Written February 15, 2020"
36,Nusa_Dua_Beach,"Perfect service from all employees, especially Suwan, Leo, Deedit, Agus and Amar.  They have made the vacation a perfect experience with friendly nature and great conversation! The food is delicious at every restaurant even in the dining room (Dream of M Burger!).  The on-site dishes have lots of delicious dishes and very delicious afternoon tea.  Can be done with more salty foods at afternoon tea. The villa is perfect.  Maintain perfect with both cleaning services that occur at breakfast or dinner.  The pool is fantastic and the jacuzzi is fantastic.  The shower was at a great pressure and of course the automatic restroom was a nice touch.  Excellent use of all the spaces through the villas.  Extremely comfortable beds and pillows.",4.0 of 5 bubbles,"Written February 13, 2020"
37,Nusa_Dua_Beach,"Beautiful beach spoilt by banks of dried seaweed scattered all over the beach and floating in the sea which was not pleasant to walk on or swim with. Sunbeds can be a bit of a problem - unless you are staying at one of the beach resorts you must pay extortionate fees for their use even if using their bar, or be chased off by the sunbed mafia!",3.0 of 5 bubbles,"Written February 11, 2020"
38,Nusa_Dua_Beach,Very nice place! Very comfortable apartament! Well organized! Vety clean hotel! The beach is 15 minute by walk 5 minute by shuttle bus! The beach you can relax not so busy!,5.0 of 5 bubbles,"Written February 11, 2020"
39,Nusa_Dua_Beach,"Needs much more TLC for it to be one of the worlds most memorable beaches, way behind the very best ones, sorry to say.",3.0 of 5 bubbles,"Written February 10, 2020"
40,Nusa_Dua_Beach,Walked every day along the beach walk. The beach was always clean.Great beach and walk fir families.,5.0 of 5 bubbles,"Written February 10, 2020"
41,Nusa_Dua_Beach,Clean and decent stretch of beach. Well maintained public beach with access to gardens alongside the beach. Certain resorts have their own sections with sun loungers but essentially this is a public beach. Not the best beach but not horribly touristy either,4.0 of 5 bubbles,"Written February 8, 2020"
42,Nusa_Dua_Beach,"Nice beach for families with less hawkers than Kuta and without the pollution/rubbish. Note, the beach mainly serves the resorts situated there, however they are open to all.",4.0 of 5 bubbles,"Written February 5, 2020"
43,Nusa_Dua_Beach,Its a nice clean beach to be in and the crowd is decent and from the better parts of the world. Enjoyed the stroll by the sands and water,4.0 of 5 bubbles,"Written February 4, 2020"
