,location,content,rating,date
0,Sindhu_Market,"We love to eat at food courts and night markets and this one did not disappoint. Approximately 15 different stalls serving a variety of foods. Started with chicken satay sticks which were very tasty. A little on the small side, but at only $1.50 for 10 sticks how can you go wrong. Usual Nasi Goreng and Mie Goreng for under $3 but our new favourite meal is Tami Goreng which is mixed veges and chicken over fried noodles. We went three out of the 6 nights we were in Sanur and because my husband had left something behind at the hotel we also came back to the area after a day trip to Ubud and went to the market again. Also recommend the banana fritters, especially if they are freshly cooked.",4.0 of 5 bubbles,"Written March 18, 2020"
1,Sindhu_Market,"This is a small night market where you can buy freshly made and cooked foods such as nasi campur, nasi goreng, delicious home made Indonesian sweet foods, chicken, curry, dumplings and much more. Value for money and worth the taste. The seating consists of tables with small plastic stools for seating.",4.0 of 5 bubbles,"Written February 29, 2020"
2,Sindhu_Market,"A great place to visit to get out of the restaurant-after-restaurant-cycle.No fuss night time food market that has all the usual stalls... satays, soups, nasi goreng, mee goreng etc... great value and is somewhere we always return back to.Tried some mixed satays but have to say the lamb skewers were pretty dodgy. Soups looked amazing but couldn't get a seat throughout the night.Absolute highlight was a chocolate pancake thingy that was less than AU$1",4.0 of 5 bubbles,"Written February 17, 2020"
3,Sindhu_Market,"Went to this market based on trip advisor reviews, it was exactly as we expected. Small with roughly about 15 eateries. We chose to try a few different smaller bites. Satay chicken was yummy but a 40 minute wait to order and we  were the 1st in line, all the locals get fed 1st they don’t wait in line and they just keep turning up. There was also very little chicken on each skewer, 10 skewers per serve for $1.50.We also went to the fried food stall with spring rolls fried banana, fried beans donuts etc got 17pieces for $1.70 an absolute bargain and also all delicious, especially the fried coconut donut...omg. I also got the fresh juice of banana and dragon, also absolutely delicious . All up dinner cost for both of us $8.80 which included all the above plus a Bintang.My husband and I both left feeling so full. Simple no fuss and delicious. If we were staying longer we would definitely eat here every night.",4.0 of 5 bubbles,"Written February 10, 2020"
4,Sindhu_Market,Have walked around the night market looking at the different foods on offer many times when in Sanur over the past few years but have never been game enough to eat there until now.After reading other reviews we decided it was time to give it a go and for $5 my wife and myself each enjoyed a lovely good serving of nasi campur. Will for sure eat there again.,5.0 of 5 bubbles,"Written February 6, 2020"
5,Sindhu_Market,Was a bit hesitant about eating here but the first warung on the right when you go through the entrance was fantastic.  Meal cost about $2 and was seriously the best meal I had the whole time in Bali!,5.0 of 5 bubbles,"Written February 5, 2020"
6,Sindhu_Market,"Went there for dinner, and a vast array of authentic cart food, good to try all different types of food and cheap.",4.0 of 5 bubbles,"Written February 4, 2020"
7,Sindhu_Market,"Awesome cheap traditional fresh Indonesian food, great vibe! We ate there every night while in Sanur . Must get the banana fritters dusted with icing sugar YUM!!",5.0 of 5 bubbles,"Written January 28, 2020"
8,Sindhu_Market,"Most of them are indonesian street food, such as satae, gulai, indonesian home cooking, soto, indonesian pastry, balinese pastry, gado-gado (indonesian salad with peanut sauce), fresh fruit (cut and juice), jamu, etc. The cart, how they dressed, the plate, the table and chair are just simply like we used to get in the streets. Even the price also super cheap. But the quality is good.",4.0 of 5 bubbles,"Written January 20, 2020"
9,Sindhu_Market,We go here often and still the best value in Sanur for more authentic food. Don't be afraid to eat at this market. The local cuisine here is awesome and cheap. We often go to Ihu du seafood down the back right hand corner. You pick your fish or seafood and the ladies take it down to the gent who I reckon is the Bali master of open grill. Never have I had a crappy prawn and my better half goes the local snapper every time. The ladies do great veggies and rice and will even go and get you a bintang. Love these guy's and love this market. Do yourself a favour!! 9/10,5.0 of 5 bubbles,"Written January 11, 2020"
10,Sindhu_Market,"If you want to try local eats, then this place is a must! Enjoy a wide array of local food options, including satay (grilled meat sticks), bokso (meatball soup), curries and more! Expect to spend $3 - $8 USD per person.",4.0 of 5 bubbles,"Written January 10, 2020"
11,Sindhu_Market,"We are staying nearby so walked to the night markets for dinner tonight and we're very glad we did because the food was delicious! It is cooked for locals so the flavours are very authentic. We fed 2A2C for just under $10AUD. That got us rice, chicken and lamb satay sticks, spring rolls, a Bintang and donuts for dessert. The markets are very small but have a great atmosphere and it's a lot to of fun to sit and eat with the locals.My 4 year old ate plain rice (and donuts of course!) while my 6 year old dug into the satay sticks. There's a fair bit of variety of food around the different stalls.If you're nearby it's well worth a visit.",5.0 of 5 bubbles,"Written January 1, 2020"
12,Sindhu_Market,Went here on a Saturday and on what was a Hindu festival day so there only seemed to be a few vendors here (less than I expected).  The food was delicious and very well priced.  We had the Nasi Campur from a stall in the middle of the market. Very spicy - which we were warned about and it had a vegetable on the plate we couldn’t identify but was delicious.  Very reasonably priced 2 plates and 2 drinks were 800000 IDR.  We also tried some desert from a different stand.I liked the fact that the food here was made for Balinese (price wise) and the flavours weren’t watered down to western tastes - unlike most restaurants in the tourist areas.,4.0 of 5 bubbles,"Written December 21, 2019"
13,Sindhu_Market,Dinner at Warung Muslim is a delicious treat Herry’s cooking on the wok is a culinary adventure whilst Amina and Son busily look after your food and drink needsDon’t miss ordering Nasi Mawat a delicious mix of Nasi and Mie,5.0 of 5 bubbles,"Written November 22, 2019"
14,Sindhu_Market,"Nice walk from Sanur central -Found the market and tried the satay sticks - very cheap price and great atmosphere , local fare and culturally interesting",5.0 of 5 bubbles,"Written November 11, 2019"
15,Sindhu_Market,Awesome local food for little money. Satay for 15000Rp.And the dessert  ......mmmhhhh.We have eaten here several times and never had a problem .,5.0 of 5 bubbles,"Written November 10, 2019"
16,Sindhu_Market,"If you have been at this market in the morning,  you should really do yourself a favour to visit this market at night.All over small nice ""restaurants "" where you really get good food and very cheap. About 30.000 rupees and your stomach is full.You can enjoy the local people making food.The night market opens about sunset.You can buy food to eat at the place or take it home with you. They also sell water and really nice mixed juice of fruits. Really a visit worth",5.0 of 5 bubbles,"Written November 1, 2019"
17,Sindhu_Market,"We visited the night market on four different occasions during our holiday in Sanur. Our children are aged 5, 8 and 10. Each time we were not disappointed. We were all able to eat for around 120,000-150,00 rupiah, including 2 beers, which is amazing value!We had the most delicious Nasi Goreng we’ve ever had, a tasty meatball soup, Martabak Mie Goreng and Cap Cay with boiled rice. We also had A variety of donuts, deep fried banana, deep-fried coconut and smoothies. All of the food was cooked freshly in front of us, and all of the areas including tables and chairs were very clean. We visited at a variety of different times, and each time found that it wasn’t too busy, but there was enough of an atmosphere for us all to enjoy it. You may need to be prepared to wait for spaces at a table, if you arrive at a busy time, but the sellers are usually quite happy for you to perch at a space where you can. There’s a toilet in the corner of the Square, so if you need to use facilities while you’re there (which our children did) there is somewhere to use. You will need to ensure you have your own hand-gel and toilet roll though!It was a great atmosphere, with a number of locals eating there, as well as people from all over the world. We all enjoyed the environment and the food. We had no upset tummies here. Highly recommend this place for fantastically priced local food whilst holidaying in Sanur.",5.0 of 5 bubbles,"Written October 31, 2019"
18,Sindhu_Market,Nice and beautiful place in the world. I am very happy to visit this place.I want share my journy express to all.,4.0 of 5 bubbles,"Written October 30, 2019"
