,location,content,rating,date
0,Sacred_Monkey_Forest_Sanctuary,"Known as a monkey temple cauae there are so many monkey living in forest. Located in Ubud, very different from beach like Kuta. So many trees and shadow by trees are atractive to everyone who visit here.The most amazing thing is that monkeys never scare people. They act like human as a neighbors. They just sit down at road and seeing us, people.",5.0 of 5 bubbles,"Written December 13, 2021"
1,Sacred_Monkey_Forest_Sanctuary,"This place so amazing you can see lots of monkey here! They’re so cute, they will jump to your body for looking some food and make sure your phone or your camera are save😅. We will be back!",5.0 of 5 bubbles,"Written December 4, 2021"
2,Sacred_Monkey_Forest_Sanctuary,"Ubud Monkey Forest is the most iconic place in Ubud. It’s got huge tropical forest and ancient temples inside of it. The monkeys there are very friendly, it seems that they are looked after well. Don’t forget to bring nice camera here to capture your moments.",5.0 of 5 bubbles,"Written December 4, 2021"
3,Sacred_Monkey_Forest_Sanctuary,There is not much to say apart from: this place is a must visit! Please find some time to go if you are in Ubud. Beware monkeys can be sneaky if you have food or fruit with you! Protect your belongings a little bit and enjoy the connection with Nature.,5.0 of 5 bubbles,"Written November 12, 2021"
4,Sacred_Monkey_Forest_Sanctuary,"Monkey forest located at Ubud central. This is a good place for take pictures,so many good spots for takes a picture",5.0 of 5 bubbles,"Written November 11, 2021"
5,Sacred_Monkey_Forest_Sanctuary,"A must visit spot while in Ubud - the Forest is a great attraction to visit to see Monkeys and really nice scenery. For tourists it's really easy to enter and navigate around too, hassle free.",5.0 of 5 bubbles,"Written November 10, 2021"
6,Sacred_Monkey_Forest_Sanctuary,"green forest, easy to reach, lot of attraction, huge parking area, safe since many staff around, great place to with family and for an education",5.0 of 5 bubbles,"Written October 9, 2021"
7,Sacred_Monkey_Forest_Sanctuary,"The sanctuary is well-maintained while still preservering the natural built - you can sense the sacred aura within the forest since it's actually a temple - there's also a graveyard for the locals to be buried in one of the temple's section. It inspires not of a fear, but rather a sense of calm and serenity.",5.0 of 5 bubbles,"Written September 29, 2021"
8,Sacred_Monkey_Forest_Sanctuary,This is a forest of monkeys! It was a very funny experience. Thousands of monkeys have a home here. You can see them up close and feed them. In some parts they sell bananas that you can buy and give to the monkeys. There are many sculptures in this forest that you will not see in other parts of Bali. This place is a few minutes walk from the center of Abud.,4.0 of 5 bubbles,"Written September 19, 2021"
9,Sacred_Monkey_Forest_Sanctuary,"We visit this place in September 2019. It was a good experience to see the monkeys play, eat and run freely, outside the cage. Must visit! But watch from the crazy monkeys :p",3.0 of 5 bubbles,"Written September 16, 2021"
