,location,content,rating,date
0,Nusa_Dua_Beach,Perfect for the sunrise!,4.0 of 5 bubbles,"Written December 29, 2021"
1,Nusa_Dua_Beach,The beach was relaxing. We can't really enjoy the magnificent sunset like in Kuta beach or Uluwatu since we're on the east side of the island. However the experience was world class!,1.0 of 5 bubbles,"Written November 3, 2021"
2,Nusa_Dua_Beach,Bad rude security trip tourist bad,5.0 of 5 bubbles,"Written May 29, 2021"
3,Nusa_Dua_Beach,The beach is dirty sand bags piled up 2m slippery dangerous pay to get in to dirty beach people are not friendly think god gave them the.beach god gave the beach to all people god angry sent big waves washed away what was the beach boring place to stay dont go there cqrnt ride bikes carnt walk on foot path very rude security stay away feom nusa dua,5.0 of 5 bubbles,"Written February 18, 2021"
4,Nusa_Dua_Beach,"Great beach, easy to do social distancing. Many 5 stars hotel.",5.0 of 5 bubbles,"Written January 15, 2021"
5,Nusa_Dua_Beach,"Great beach, easy to do social distancing. Many 5 stars hotel in the area. Perfect, quiet, and safe for family and kids.",5.0 of 5 bubbles,"Written December 28, 2020"
6,Nusa_Dua_Beach,Beautiful white sand beach,5.0 of 5 bubbles,"Written December 8, 2020"
7,Nusa_Dua_Beach,"Nusa Dua beach has always been my favorite beach to enjoy. It has a white sand beach and it has a quiet situation, less crowd.On the far right side,  it has good wave for surfing.  Nusa dua beach has less small coral and less gravel, which is a good spot beach for running, love it.Over all, Nusa dua beach is a good spot to enjoy your day and sunset. Enjoy!",5.0 of 5 bubbles,"Written November 16, 2020"
8,Nusa_Dua_Beach,The Bluest of blue seas contrasting with the whitest sands on the beach,5.0 of 5 bubbles,"Written September 13, 2020"
9,Nusa_Dua_Beach,"Nusa Dua is a beautifully laid out region that houses Bali’s most expensive and exclusive beach resorts, landscaped gardens, art galleries and museums. The Nusa Dua beach is beautiful stretch of coastline where couples can enjoy some alone time, take a stroll and soak in the beauty of the surroundings. Blue seas, frothy waves and white sands - that's bliss, right?",5.0 of 5 bubbles,"Written July 31, 2020"
10,Nusa_Dua_Beach,WESTIN Resort Nusa Dua beach day pass,5.0 of 5 bubbles,"Written December 28, 2020"
11,Nusa_Dua_Beach,"White sands clear waters, WESTIN Resort day pass use pools and enjoy the beautiful beach best in Bali  grab lunch from Ikan  restaurant overlooking the beach great day Nusa Dua",5.0 of 5 bubbles,"Written December 8, 2020"
12,Nusa_Dua_Beach,Less crowded than Legian beach,5.0 of 5 bubbles,"Written November 16, 2020"
13,Nusa_Dua_Beach,"This beach is designed as a complex for  five stars hotels. Therefore, it is not as crowded as the Legian beach (Kuta).",5.0 of 5 bubbles,"Written September 13, 2020"
14,Nusa_Dua_Beach,Nice beach,5.0 of 5 bubbles,"Written July 31, 2020"
15,Nusa_Dua_Beach,"Nice beach and wide shore, good for walking along the waves, taking massage to relax and feel comfort while blowing sea breeze. High tide waves are never dangerous for swimming. Such a safe and lovely sea.",5.0 of 5 bubbles,"Written May 26, 2020"
16,Nusa_Dua_Beach,Beautiful Beach,5.0 of 5 bubbles,"Written May 7, 2020"
17,Nusa_Dua_Beach,"Beautiful and pristine Bech with clear waters. Enjoyed a lot of water sports also like water scooter, parachutes, sea walk. A nice combination of adventure and relaxation",4.0 of 5 bubbles,"Written April 21, 2020"
18,Nusa_Dua_Beach,Mesmerizing,4.0 of 5 bubbles,"Written April 12, 2020"
